event_date,event_name,,,,,,,,,,,,,
9/22/2012,"Citizen , False Colours , Flagship , Vomit Slaughter , Gomorrah , Kid Mask , , Fall In The Ride , Reptilian Shape Shifters (on tour",,,,,,,,,,,,,
9/27/2012,"Cougarpants, Samvega , Gypsy's Curse, Novelas",,,,,,,,,,,,,
9/29/2012,"Jack's Smirking Revenge CD Release show with: Tyler Ryan, Chatterbox and the Latter Day Satanists,Red Vs Black ",,,,,,,,,,,,,
10/7/2012,Virgin Whores ,,,,,,,,,,,,,
10/13/2012,Generifus  / Kid Mask / Sara Century / Last Eyes / SAMVEGA!!!,,,,,,,,,,,,,
10/19/2012,School Knights / Grave Babies  / Hindershot / more TBA,,,,Booked by Aaron Saye,,,,,,,,,
10/20/2012,"Mr. Fisher and the Hospitality , A Casual Vacancy, Last Stop, See",,,,,,,,,,,,,
10/22/2012,Panal S.A. de C.V. / Yards  / Pythian Whispers,,,,,,,,,,,,,
10/24/2012,CassoVita  / The Daggermouth Spectacular / Flagship / We Are Erased / Cosmopolitics,,,,,,,,,,,,,
10/25/2012,Black Mask  / Swells / Dick Widler / Tell Me About Bruce Banner,,,,,,,,,,,,,
10/27/2012,Gloominous Doom  / Gomorrah / The Plurals  / DNDK / Eminent Terror,,,,,,,,,,,,,
10/31/2012,Evilive  / Captain Blood / The Varmits / Spatgasm / MAN APE,,,,,,,,,,,,,
11/2/2012,Ska Skank Redemption / The A-OKs / Redline Alchemy / The Repercussions,,,,,,,,,,,,,
11/4/2012,Two Hand Fools / Black Dots / Coffee Makers,,,,,,,,,,,,,
11/6/2012,Cobra Skulls  / Elway / Young Turks  / The Hate / Anchor Point,,,,,,,,,,,,,
11/9/2012,"Bucket Flush (punk rock, members of The Virus / Clit 45!!!",,,,Booked by Josh Lent,,,,,,,,,
11/10/2012,Resistant Culture ,,,,,,,,,,,,,
11/12/2012,"Sleeping Weather Tour Kickoff w/ Pikes, Disaster Canyon, Chase Ambler, Sweet Weapons ",,,,,,,,,,,,,
11/16/2012,Alders / Shahman  / Novelas / Radio Budapest,,,,,,,,,,,,,
11/17/2012,"Johnny Edwards, Frailty of the Hero, Smack Saturday, Byrgeau Noil, the Green Belt Rascals",,,,,,,,,,,,,
11/21/2012,Open microphone night / consignment party,,,,,,,,,,,,,
11/23/2012,Hatrick Penry / Oatie Paste / The Repercussions / Current Youth,,,,,,,,,,,,,
11/24/2012,Slothclaw  / Orphans / Swells / Rosewood Harbor / BILLY,,,,,,,,,,,,,
11/28/2012,La Armada  / APEX / Nose Bled / Philistines / more TBA,,,,,,,,,,,,,
11/30/2012,Black Dots / Serenghetto  / B. Arthur  / Drunken Arrows / Din Virulent & Orc//Astral,,,,,,,,,,,,,
12/1/2012,Jade Skyline / The Squid Kids / 32 Bandit / Divide Zero,,,,,,,,,,,,,
12/7/2012,"ART SHOW! 3 artists + music by A Sense Of Porpoise, Santiago, and Chatterbox & the Latter Day Satanists",,,,,,,,,,,,,
12/8/2012,Discount Cinema / WhiteCatPink / Saint Deadhand / Pretty. Loud.,,,,,,,,,,,,,
12/14/2012,Chatterbox / Blind Man Deaf Boy / Head Injuries / Carpe Canem / Police Lingo ,,,,,,,,,,,,,
12/18/2012,Green Belt Rascals / Josh Rogan  / Leftmore / Samuelson's Brigade / DirtWitch,,,,,,,,,,,,,
12/21/2012,TBi / BILLY / Atomic Pork,,,,,,,,,,,,,
12/22/2012,Death by Cemetery / Vespyra / Gomorrah,,,,,,,,,,,,,
