10/11/2025,"Falu Red, Cavernous, Brutal Torture, Among Wolves, Crypts of Golgotha "
10/10/2025,Pitchfork / All My Senses / Ebony Darkness / GUSH
10/8/2025,Sad Boy Union / Grumble & The Ghost / Piñatas 
10/6/2025,"My Beloved, Behindcoloredglass, Fallfiftyfeet, Postdrome"
10/1/2025,"Zenith, friend, tdi, dogmon "
9/30/2025,"Harvested, Gored Embrace, Dying Remains, Crypts of Golgotha"
9/26/2025,"Noogy, RadioFry, Amish Drive By, Toxic Authority, The Black Gloves"
9/25/2025,FAGS - September
9/20/2025,"Crushed, Hot War, Dead Gods, Seam Ripper, Tulpa, Soul Trick, Thee Retcons"
9/19/2025,"Cavernous, Now if Ever, Tray of Rock, Volatile"
9/16/2025,"Vulgarian, Private Prisons, Deadgods"
9/15/2025,"Facepulp, Alison Walks, Kthulu, Copkiller, "
9/13/2025,"Leisure hour, Arcadia grey, skiimo, lobster fight"
9/12/2025,"Lagrimas, Maul, Victim of Fire, Harvested, Polish, Aleister Cowboy"
9/11/2025,Carrion Crawlers / The Left / [SALT] / Axe Bunny
9/9/2025,"Ignorant Bliss, Impalement, Utter Scorn, Tomb Dweller, Crypts of Golgotha"
9/6/2025,"Panpsychism, Obscene Worship, Acid Sentence, Vitriolic Withering"
9/5/2025,"Grather Way, Mirkwood, Spoil the Moment, Slug City"
8/30/2025,"Sludge Incorporated, GUNK, Jules Frantic"
8/28/2025,FAGS: Gender Anarchy
8/23/2025,Rude Awakening Festival
8/20/2025,"Team Nonexistent, Tezca, Pitchfork, Gila Teen"
8/17/2025,"High Charity, Primal Agression, Tray of Rock, Ash Tree Lane"
8/15/2025,Mile High Power Fest Battle of the Bands
8/14/2025,"Doom Scroll, The Ragetones, Grinning Death, Damn Selene"
8/10/2025,Stitch n Bitch
8/9/2025,"Thrillrot, Tunnel Jumper, Soulherder, Under Society, Underseer"
8/8/2025,"Give Me Gold, Overwroghts, Now If Ever, Soul Trick"
8/7/2025,"Gasket, xGaargoylex, cop killer, glass knife, critter"
8/5/2025,"Angel band, sonic chick, fragrant blossom, scorplings"
8/3/2025,"Flower Head, Good Sleepy, Glue Coast, Skiimo"
8/2/2025,"Weald & Woe, Upon a Fields Whisper, Oreyn"
7/31/2025,FAGS: RECLAIM: trans fundraiser 
7/30/2025,"Identity Crisis, Self Abuse, Ukkos Hammer, Human Wound, Hostile Takeover "
7/29/2025,"Her New Knife, Cherished, Mofie, Summer of Peril "
7/27/2025,"Vomit Forth, Weeping, Backlip, Epileptic Avulsions"
7/26/2025,"Pseudocrush, Amazon Crimes, Battle Pussy, Denver Dissent"
7/25/2025,"FROLIC, Apraxia, Nihil, Divine Demise"
7/23/2025,"Cop Killer, Big Knife, Vulgarian, White Oak Doors"
7/20/2025,Stitch n Bitch
7/19/2025,"Noogy, Gasm, SWAG, The Disposable Icons"
7/8/2025,"Plastic Forearm, Propolis, phantomsmooch"
7/6/2025,DashCon 2 Viewing Party
7/4/2025,"Fatalist, Missouri Executive Order 44, Opposition Agent, Caged Grave"
6/28/2025,"upon a fields whisper, poison tribe, polish, victim of fire"
6/27/2025,"Doomscroll, Giant Wave, Matt Pless, Huntyr Moon"
6/26/2025,Fags: fundraiser for Transcontinental Pipeline 🏳️‍⚧️ 
6/25/2025,"On the Zenith, Now if Ever, Karatebody!"
6/23/2025,"Edith, postdrone, spark of life,  hostile takeover "
6/22/2025,"Spoil the Moment, Rosemary Nods Upon the Grave, Athousandangels, Amod"
6/20/2025,"Monkey Man, Flush, Skoki, Aratik"
6/18/2025,"Sunshowers, Guacamole Light Switch, Radio Fry"
6/13/2025,"Harbor, Claymore, Accustomed to Suffering, Spoil the Moment, Bonsai"
6/8/2025,Underground Pride Day 3
6/7/2025,Underground Pride Day 2
6/6/2025,Denver Underground Pride Day 1
5/31/2025,"Strainer, Herr God, Fat Evil Children, Ampule"
5/29/2025,FAGS: Gender Anarchy - May (No bands)
5/28/2025,"Volatile, pay no mind, good for now, white oak doors"
5/25/2025,"Fleabags!, Dead Docket, SolDog"
5/24/2025,"A Lack of Champions, Adrenalin, Still Gunna Bail, Call Me Dragon"
5/23/2025,"Undissasembled, What Counts, Cologne, Critter, Crossbar"
5/18/2025,"Gila Teen, Surprise Soup, Fauna, Pill Joy"
5/17/2025,"Harvested,  cronos compulsion , aleister cowboy, Inoculated life"
5/16/2025,"Non-renewed, Nix on the pails, emma marten"
5/14/2025,"Flickers from the Fan, Orcus, Silencia Cumanente, AMN, Apoxypon"
5/11/2025,"Acid Sentence, deathblow, nihil, insipidus "
5/11/2025,Stitch n Bitch
5/9/2025,"Team Nonexistent, Boof, SWAG, Discount Vodka, Anystate, Hive Mind"
5/8/2025,"The Moray, Onion Girl, Fables of the Fall, Jo Rodriguez"
5/4/2025,"Flak, Eyas Luna, Fauvism, Writherinfear, Deadgods"
4/27/2025,"Squint, Flesh Tape, Crossbar, Strainer "
4/26/2025,"Ragetones, Jo Rodriguez, Fiona Liv, Silver Tongue Son"
4/24/2025,FAGS: Gender Anarchy - April (No bands)
4/20/2025,"The Losers, Smear Campaign, Pig Splitter, Cherry Spit"
4/19/2025,"Soneffs, On the Zenith, Ash Tree Lane, Injury"
4/18/2025,"Everlasting Everything, Mood Swing Misery, Frog team!, ok i love you"
4/16/2025,"Age of Apocalypse, Polish, Writheinfear"
4/13/2025,Stitch n Bitch
4/11/2025,"Tuff Tuff, Soy Celesté, Silver Tongue Son, Soul Trick"
4/5/2025,"Abandons, only echoes, oyarsa fainting dreams"
4/1/2025,"Leisure Hour, Flowerhead, A Place for Owls, Postcards"
3/29/2025,"Harbor, grave Solace, Dropout, darklurker "
3/28/2025,"Angel Band, Star99, Sonic Chick, Jacob Akira"
3/25/2025,"Shred Flinstone, Gilla Teen, Cormen Bartola"
3/21/2025,"Give Me Gold, Gone Full Heathen, Ebony Darkness, Miniluv, BiteSize"
3/20/2025,"Darling Driftwood, Nemona, Elaine, Bad Boy Bug"
3/15/2025,"Panther Revival, Plasma Canvas, Violent Death, DAMN Selene"
3/14/2025,"Butterfly Kisses, Wife Swap, Silver Tongue Son"
3/13/2025,"Gaunt, SWAG, Amod, GUNK!, Crash Poodle, Dogmon"
3/9/2025,"Writheinfear, crypts of Golotha, Contorted Self, Accustomed to Suffering"
3/8/2025,"Incendiary, Ignorant Bliss"
3/8/2025,"Cologne, Mortudaem, Now if Ever, Toe 2 Tow"
3/7/2025,"surprise soup, scorplings, slug city"
3/3/2025,stitch n bitch craft night 
3/1/2025,"Moon Pussy, Chair Bomb, Zenith, Mullholland"
2/28/2025,"Victim of Fire, AMOD, Onethousandangelsandseven, manhole, datura"
2/24/2025,"TimeXHeist, Firestarter, Undissassembled, Thong "
2/21/2025,"The Carrion Crawlers, 11th Hour, Rat Napkins"
2/19/2025,"Oolong, finalbossfight, semifiction, strung short"
2/17/2025,"Dose, Wide Man, Flak, Cop Killer "
2/15/2025,"Smear Campaign, Polish, Pig Splitter, RVBOMB, Tism, Yapper "
2/14/2025,"[SALT], Pseudocrush, RadioFry, The Disposable Icons"
2/9/2025,Palentine’s Kiki & Crafts fund raiser for Palestine
2/7/2025,"SWAG, Crash Poodle, Datura, TISM"
2/5/2025,"Sister wife sex strike, doomscroll, onion girl, Joy is resistance"
2/2/2025,stitch n bitch craft night 
2/1/2025,"Mortudaem, Daisy, Pitchfork, Hugo, Marianna Soup"
1/30/2025,"Breathing Teqchniques, Flowerhead, Skiimo, Team Nonexistent"
1/24/2025,"Katie Overbey, Butterfly Kisses, Silver Tongue Son, Emma Martin"
1/17/2025,"Cologne, Vitrify, Cavernous"
1/16/2025,"Vultures, Denver Dissent, RadioFry, 11th Hour"
1/11/2025,"Plasma Canvas, Noogy, Team Nonexistent, Fear of Satori, Cop Killer"
1/10/2025,"Harvested, Cronos Compulsion, Falu Red, Epileptic Avulsions, Vitriolic Withering "
1/5/2025,Stitch n bitch craft night 
12/31/2024,"Destiny bond, juice box, the clue, dry ice, knife kink"
12/20/2024,"Polish, no guard, direct threat"
12/13/2024,craft night
11/24/2024,"fan club, the nervous, undisassembled, thong, tism "
